Title,Release Date,Score / 5,MetaScore,Genre,Description (Wikipedia),US Art (Link)
Dick Tracy,1990,3.36,n/a,Action - Beat-'Em-Up - 2D,"Dick Tracy is an American comic strip featuring Dick Tracy (originally Plainclothes Tracy), a tough and intelligent police detective created by Chester Gould. The strip made its debut on October 14, 1931, in the Detroit Mirror. It was distributed by the Chicago Tribune New York News Syndicate. Gould wrote and drew the strip until 1972. Since that time, various artists and writers have continued the strip, which still runs in newspapers today. Dick Tracy has also been the hero in a number of films, notably one in which Warren Beatty played the crime fighter in 1990. Writer Tom De Haven praised Gould's Dick Tracy as ""a weird, demented, and (no kidding) outrageously funny American Gothic"", while comics historian Brian Walker described Dick Tracy as a ""ghoulishly entertaining creation"" which had ""gripping stories filled with violence and pathos",https://images.launchbox-app.com/b5810475-f965-456f-b07d-d5de569f06a8.jpg
True Lies,1905-06-17,3.35,n/a,Action - Shooter - Shoot-'Em-Up - Top-Down,"True Lies is a 1994 American action comedy film written, directed and co-produced by James Cameron. It stars Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Art Malik, Tia Carrere, Bill Paxton, Eliza Dushku, Grant Heslov and Charlton Heston. It is a remake of the 1991 French comedy film La Totale! The film follows U.S. government agent Harry Tasker (Schwarzenegger), who struggles to balance his life as a spy with his familial duties.",https://images.launchbox-app.com/17f55b10-8364-486b-a8b4-7f86db8dcfcb.jpg
Triple Score: 3 Games in 1,1993-08-16,3.35,n/a,Miscellaneous - Compilation,"Threes! is an indie puzzle video game by Sirvo, an independent development team consisting of game designer Asher Vollmer, illustrator Greg Wohlwend, and composer Jimmy Hinson. The game was released on February 6, 2014, for iOS devices and later ported to Android, Xbox One, and Windows Phone. In Threes, the player slides numbered tiles on a grid to combine addends and multiples of three. The game ends when there are no moves left on the grid and the tiles are counted for a final score.",https://images.launchbox-app.com/ef763106-f152-4526-bf37-a54f53a10a12.jpg
Chakan,1992,3.34,n/a,Action - Platformer - 2D,"Chakan: The Forever Man is a Sega Mega Drive/Genesis and Game Gear video game published by Sega of America during December 8, 1992. The game featured an uncommonly dark premise for the time of its release, which saw the home console market flooded with licensed platformers based on family-friendly media.",https://images.launchbox-app.com/8bb1cc54-86a4-4968-ae7d-c5c57f307393.jpg
Two Crude Dudes,1992,3.34,n/a,Action - Beat-'Em-Up - 2D,"Two Crude, also known as Crude Buster in Japan, is a 1991 beat 'em up arcade game developed and published by Data East. The game was later ported to the Sega Genesis in 1992. Outside Japan, the port was released under the name Two Crude Dudes.",https://images.launchbox-app.com/ae026461-c109-4834-86a0-bf4d81ebb10a.jpg
Air Buster,1991,3.34,n/a,Action - Shooter - Shoot-'Em-Up - Horizontal,"Air Buster is a horizontal-scrolling shoot-em-up arcade game developed by Kaneko. In Japan, the arcade version was published by Namco, while in North America the arcade version was published by Sharp Image Electronics. Two players control the ""Blaster Fighter"" star ships in their efforts to destroy a mysterious mechanical fortress orbiting Earth, with plans to take control of the planet. The Blaster Fighters can equip one of seven available weapons, which will change the ship's firepower and abilities, such as diagonal shots, homing missiles and small drones that follow the player's ship.",https://images.launchbox-app.com/a8ce0485-633a-4499-996e-b8aaeaf74982.jpg
Mick & Mack as the Global Gladiators,1992,3.34,n/a,Action - Platformer - 2D,"Global Gladiators is a 1992 platform game published and developed by Virgin Games, originally programmed by David Perry (who at the time had already moved to the United States and was located on the recently formed Virgin Games USA development studio) for the Mega Drive/Genesis and eventually ported by other Virgin Games teams in Europe (with the help of Graftgold and Krisalis Software) to the Master System, Game Gear and the Amiga. A Super NES and an NES port were also in development but were never completed for undisclosed reasons, though a ROM image has since surfaced. The game is based on the McDonald's fast food chain and has a strong environmentalist message.",https://images.launchbox-app.com/72672958-bc90-41b7-a9e7-ee8aaa1c6a70.png
Mighty Morphin Power Rangers: The Movie,1995,3.34,n/a,Action - Beat-'Em-Up - 2D,"Mighty Morphin Power Rangers: The Movie (also known as Power Rangers: The Movie) is a 1995 American superhero film based on the television series Mighty Morphin Power Rangers. It stars the ensemble cast of Karan Ashley, Johnny Yong Bosch, Steve Cardenas, Jason David Frank, Amy Jo Johnson, and David Yost alongside the villains cast from the original series and Paul Freeman as Ivan Ooze. Much like the television season that followed the release, it used concepts from the Japanese Super Sentai series Kyoryu Sentai Zyuranger, Gosei Sentai Dairanger and Ninja Sentai Kakuranger. It is the first Power Rangers production from Saban Entertainment not to feature any archived footage from Super Sentai.",https://images.launchbox-app.com/d81306b3-a79f-4418-ac5b-3576de6a962e.jpg
Battletoads,1905-06-13,3.33,n/a,Action - Beat-'Em-Up - 2D,"Battletoads is a video game media franchise by Rare that began with the original beat 'em up game Battletoads in 1991. Starring three anthropomorphic toads named after skin conditions, Rash, Zitz, and Pimple, the series was created to rival the Teenage Mutant Ninja Turtles games series. The series as a whole has been quite popular with five installments up to this date and at its apex spawned an animated television pilot.",https://images.launchbox-app.com/2696b080-969b-4413-bac5-7b75e5589861.jpg
Spider-Man,1991-10-17,3.33,n/a,Action Adventure - General,"Spider-Man is a fictional superhero created by writer-editor Stan Lee and writer-artist Steve Ditko. He first appeared in the anthology comic book Amazing Fantasy #15 (August 1962) in the Silver Age of Comic Books. He appears in American comic books published by Marvel Comics, as well as in a number of movies, television shows, and video game adaptations set in the Marvel Universe. In the stories, Spider-Man is the alias of Peter Parker, an orphan raised by his Aunt May and Uncle Ben in New York City after his parents Richard and Mary Parker were killed in a plane crash. Lee and Ditko had the character deal with the struggles of adolescence and financial issues, and accompanied him with many supporting characters, such as J. Jonah Jameson, Harry Osborn, Max Modell, romantic interests Gwen Stacy and Mary Jane Watson, and foes such as Doctor Octopus, Green Goblin and Venom. His origin story has him acquiring spider-related abilities after a bite from a radioactive spider; these include clinging to surfaces, shooting spider-webs from wrist-mounted devices, and detecting danger with his ""spider-sense"".",https://images.launchbox-app.com/eb933577-90e7-4e06-9da4-37933c9699b8.jpg
Madden NFL '94,1994-02-18,3.33,n/a,Sports - Team - Football - Sim,"Madden NFL '94 is an American football video game released in 1993. It was the first game in the Madden series with an official National Football League team license, as well as the first Madden game that allowed players to play a full regular season (via a password system). However, the game is not licensed by the NFL Players Association, so all of the players are identified by number only (the game would get the Players' Association license in next year's edition",https://images.launchbox-app.com/baf789fa-6e25-472f-b607-5dee441de27f.jpg
Star Trek: The Next Generation: Echoes From the Past,1994,3.31,n/a,Adventure - General,"Star Trek: The Next Generation – Future's Past (Star Trek: The Next Generation – Echoes from the Past on Sega Genesis) is a 1994 adventure game featuring strategy and puzzle-solving elements. The game was released for the Super Nintendo Entertainment System, the Sega Genesis and the Sega Game Gear. It takes place in the Star Trek universe, spanning Federation space and the Romulan Neutral Zone, and centers on the appearance of the IFD (Integrated Field Derandomizer), an artifact machine of unknown origin that, as its name suggests, allows its user to reshape matter and energy. It culminates in the IFD Trials, three tests undertaken by representatives of any races that are present when the Trials are held, and failure would mean the destruction of the Federation and the enslavement of countless worlds by the Federation's enemies.",https://images.launchbox-app.com/a8b552ed-df98-45a3-a078-6acaf3622fca.jpg
Joe Montana Football,1990,3.31,n/a,Sports - Team - Football - Sim,"Joe Montana Football is an American football video game developed by Electronic Arts, and published by Sega for the Genesis in 1991. Although the game does feature Joe Montana (as the title respectively says) as a playable character, since Sega did not secure the rights from the NFL, teams are named generically after US cities, meaning Joe Montana is the only real player in the game.",https://images.launchbox-app.com/b475d685-a212-49ed-a913-6b9d491fa608.jpg
Phelios,1905-06-12,3.31,n/a,Action - Shooter - Shoot-'Em-Up - Vertical,Phelios (フェリオス Feriosu) is a 1988 vertical scrolling shooter video game released for the Namco System 2 arcade platform in Japan by Namco. A Mega Drive port was released in 1990. The game features a plot loosely based on Greek mythology.,https://images.launchbox-app.com/20955de6-22fd-4e3d-8367-82b0498cfcae.jpg
Taz in Escape From Mars,1994-06-19,3.31,n/a,Action - Platformer - 2D,"Taz in Escape from Mars is a video game developed by HeadGames and released by Sega in 1994 for the Genesis/Mega Drive and Game Gear featuring Taz, the Looney Tunes Tasmanian devil cartoon character. The Game Gear version was ported by TecToy to the Sega Master System and released in March 1997 only in Brazil. Taz must escape from Mars, where he was brought by Marvin the Martian. The game includes six worlds with two or three levels in each world.",https://images.launchbox-app.com/8cddd1ab-decc-4bcb-875c-055c55d61b70.jpg
Animaniacs,1994-05-14,3.3,n/a,Action - Platformer - 2D,"Animaniacs is an American animated comedy television series created by Tom Ruegger. It is the second animated series produced by Amblin Entertainment in association with Warner Bros. Animation. The show first aired on the Fox Network as part of its Fox Kids block from 1993 to 1995 before moving to The WB in 1995 until the series ended in 1998 as part of its Kids' WB afternoon programming block. It initially ran a total of 99 episodes and one film, Wakko's Wish.",https://images.launchbox-app.com/3afef4b6-fde2-45ee-b298-57ad68eae261.png
Out of This World,1992,3.3,n/a,Action -Platformer -2D,"Another World, known as Out of This World in North America, is a 1991cinematic platformer action-adventure game designed by Éric Chahi and published by Delphine Software. The game tells a story of Lester, a young scientist who, as a result of an experiment gone wrong, finds himself on a dangerous alien world where he is forced to fight for his survival.",https://images.launchbox-app.com/c07a0043-2466-4994-9a10-4b309b83c6c7.jpg
Garfield: Caught in the Act,1995,3.3,n/a,Action -Platformer -2D,"Garfield: Caught in the Act is a platform game starring the comic strip cat, Garfield. The game, developed by Sega, was released in 1995 for the Sega Mega Drive/Genesis and Sega Game Gear, and in 1996 was released for Windows PCs. The game was also released for PCs in the Sonic & Garfield Pack, along with Sonic & Knuckles Collection and Baku Baku Animal.",https://images.launchbox-app.com/238db0cd-a9f9-4691-9254-2c8657789dc2.jpg
